TV810ML,7,2,12,7
MI170AZ,7,6,19,41
SO881EW,7,45,10,55
KS035MZ,8,2,13,19
KS300YG,8,41,19,24
SN087OZ,8,44,17,16
GL779JE,9,1,17,45
KS265KJ,9,50,17,26
MI466XU,10,23,14,39
SO664SH,11,6,13,24
KS928AM,11,13,14,40
SO322YF,11,14,11,50
SN631DA,11,28,17,45
RV521AF,11,55,18,48
GL097DJ,12,2,18,56
KS482YE,12,8,12,36
GL040QF,12,11,13,36
KE611TH,12,12,15,59
GL542BI,12,16,18,42
SO948HN,12,35,16,28
TV582SJ,12,53,17,10
GL164UA,13,7,14,58
MI797ZM,13,9,16,35
KE770SO,13,10,19,9
SO322YF,13,23,17,20
SN577KB,13,26,16,46
KS896FT,13,29,17,13
TV810ML,13,33,19,13
SN435AO,13,38,17,33
TV215RI,13,45,16,27
MI070ED,13,50,19,45
RV885GL,14,21,16,29
KS503QX,14,25,19,54
MI990HG,14,30,20,0
KE301VZ,14,49,14,55
SO664SH,14,55,16,46
RV425OB,15,14,16,54
TV722KO,15,28,19,10
KE771BM,15,38,20,0
KS035MZ,15,57,17,3
KS212LL,16,20,16,41
RV002XW,16,39,17,37
KS928AM,16,39,19,24
MI466XU,16,46,16,58
GL046SL,17,3,17,42
KS235KO,17,15,20,0
SN745EV,17,16,20,0
MI170DH,17,26,20,0
KS212LL,17,30,19,33
SN898XD,17,40,19,11
RV885GL,17,55,18,40
KE048ZV,18,10,20,0
SO948HN,18,12,20,0
GL995TD,18,14,18,17
SO057XK,18,23,19,37
MI068GN,18,25,18,48
RV141SI,18,39,19,23
TV215RI,18,41,20,0
KS873IE,18,57,19,48
SN049JZ,19,47,20,0
