SO102CE,6,4,18,53
GL126EW,6,13,6,40
GL670JL,6,39,11,51
TV979TR,6,49,6,55
MI302KR,6,52,12,31
GL570FS,7,15,9,9
GL126EW,7,32,16,34
SN982TT,7,34,12,12
KS270FV,7,58,12,44
TV684HF,8,19,11,41
SO237RX,8,26,9,30
SN407HP,9,14,12,1
GL334FQ,9,28,13,27
KS413SS,9,33,15,7
SO926AA,9,38,14,48
MI168BK,10,8,10,15
SO237RX,10,22,17,46
GL861NX,10,56,13,30
TV244IU,11,23,15,38
MI168BK,11,23,16,44
SN330CL,11,36,15,10
SO417EU,11,41,16,37
SO797KB,11,43,13,55
MI621BY,12,4,18,57
SO754NZ,12,5,16,34
KE855CI,12,8,17,3
TV231WG,12,23,19,0
GL812BR,12,38,14,1
SN170NU,12,52,17,12
SO158RX,13,4,15,1
KS862FN,13,6,17,22
KE473UM,13,15,18,3
TV684HF,13,17,17,16
SN407HP,13,25,17,42
KS270FV,13,43,14,18
SN219VZ,13,49,14,24
TV077EN,14,14,14,33
MI302KR,14,16,15,30
GL270HD,14,39,16,51
SN982TT,14,42,14,48
RV642NL,15,15,17,37
SO926AA,15,15,17,57
GL537KN,15,23,19,0
KS270FV,15,49,18,45
SN982TT,16,0,18,19
RV557HY,16,6,16,29
KS406FD,16,10,17,12
KS772PK,16,39,17,34
SO551ZT,17,4,18,30
MI240DX,17,13,19,0
MI521ZU,17,39,17,54
SN959XP,17,39,19,0
TV352YV,17,56,19,0
RV455QY,18,5,18,31
MI197YC,18,7,19,0
SO669YH,18,21,18,34
KE059YB,18,26,18,38
TV359GJ,18,35,18,55
KE366HY,18,47,18,56
GL095CU,18,49,18,58
KE282XP,18,59,19,0
