SN550TS,8,20,17,50
KE398KR,9,36,10,10
MI037AH,9,57,11,28
TV126HK,10,0,20,0
SN408DG,10,8,10,52
KE130EP,10,39,15,22
GL254UH,10,51,17,34
SO254CR,10,53,17,8
SN290YM,10,58,18,38
GL967OK,11,6,17,33
KE497TH,11,18,14,39
GL450KY,11,24,14,7
GL550NH,11,37,19,37
TV773FP,11,46,15,49
SO489BC,12,3,14,4
RV795GS,12,10,17,45
SN531ZX,12,11,13,4
SO170LI,12,16,15,10
SO010IT,12,24,15,25
TV136DH,12,25,15,57
MI037AH,13,17,17,22
SO639WZ,13,49,14,1
SN531ZX,14,3,18,55
SN322WT,14,9,17,13
KS033LJ,14,15,16,31
RV017PF,14,23,15,51
RV707DR,14,47,20,0
KE598CQ,15,18,20,0
SN112NK,15,38,17,38
RV280QM,15,49,15,53
RV684WS,16,13,16,43
TV654ID,16,36,19,44
SO639WZ,16,37,18,51
SO010IT,16,46,16,50
TV360QX,16,56,18,1
TV696UO,16,58,19,34
SN861SO,16,59,18,54
KS286WF,16,59,19,35
SO093UZ,17,16,18,37
RV327YE,17,16,20,0
MI184SW,17,26,17,45
RV073HK,17,26,18,6
KS033LJ,17,27,18,33
TV773FP,17,29,20,0
RV017PF,17,29,17,37
GL292AY,17,47,19,49
MI023MF,17,55,19,37
RV493ML,18,18,20,0
GL873DC,18,22,19,9
SO010IT,18,30,19,9
SN379XK,18,32,19,25
GL645OQ,18,36,19,40
TV557CF,18,45,18,57
MI721TY,19,3,20,0
RV964TW,19,8,20,0
TV847ZV,19,18,19,53
GL092AY,19,30,20,0
TV129NR,19,51,20,0
