MI419HU,8,35,9,24
SO826HN,8,43,10,45
MI566CG,8,56,19,11
RV999OU,9,23,12,17
TV557VJ,10,5,16,24
GL362OY,10,9,10,15
KS190WO,10,32,16,12
SO760BU,11,3,19,48
SO401YL,11,18,11,36
SO826HN,11,18,19,1
MI419HU,11,30,20,0
SO429KY,11,41,14,52
MI229WF,11,41,20,0
GL334ZZ,11,43,13,58
SN436SE,12,29,17,20
SN057IB,12,43,19,14
GL243TV,12,45,19,59
TV784FL,13,7,20,0
SN673MG,13,11,13,15
GL018FC,13,23,20,0
GL356QQ,13,30,18,50
TV068MO,13,56,15,18
MI847QS,14,5,20,0
SO536GT,14,33,18,6
KE311CB,14,41,15,39
SN673MG,15,0,15,46
KS855NS,15,1,18,14
TV989AQ,15,10,18,23
SN533UT,15,43,20,0
GL366SE,15,47,19,15
SO279EH,15,57,20,0
KS879BR,16,17,16,32
SO332NW,16,19,17,32
SN673MG,16,40,19,44
SO728ST,16,42,17,53
KS256PP,17,5,18,47
SO962CR,17,20,20,0
MI258IH,17,22,20,0
TV068MO,17,36,20,0
SO675KI,17,40,20,0
MI928QL,17,41,17,57
KS190WO,17,43,19,52
KE957JG,17,51,18,54
SO998RQ,17,55,19,50
TV191IY,18,0,20,0
KS966ZY,18,10,19,17
SO130BW,18,15,20,0
GL471ED,18,20,18,56
KS879BR,18,24,20,0
TV511GA,18,27,18,51
TV557VJ,18,27,18,51
GL085AH,18,39,18,56
KS079HL,19,2,19,44
MI449CC,19,11,20,0
SN530BI,19,19,19,52
MI857VJ,19,35,19,51
RV078DD,19,54,20,0
MI918PW,19,57,20,0
