TV860ID,6,7,16,49
SO140ZP,6,15,10,40
RV190AT,6,29,6,56
KE348GT,6,45,14,53
KE066JF,6,47,9,29
KE124KZ,7,35,7,48
SN694PC,7,53,18,33
SO761HD,8,15,15,49
SN807TB,8,42,17,19
MI390AH,8,51,18,25
MI712AA,8,59,16,16
KS089WW,9,44,9,53
KS911RQ,9,45,11,5
KE761BP,9,49,10,17
RV303SD,10,22,18,57
GL982GR,10,37,20,0
TV237IU,10,44,14,13
SN641AI,10,59,18,34
SN120TU,11,1,13,21
TV272BG,11,14,13,38
KE761BP,12,10,12,33
SO300YD,12,38,15,59
TV061EY,12,48,15,26
GL449HR,13,25,18,45
KS961WM,13,36,13,57
KS840JZ,13,50,17,19
SO570TA,14,1,14,56
KE761BP,14,11,16,27
KE971PK,14,12,20,0
RV695XG,14,26,14,29
SN150QI,14,41,17,9
KE986QT,14,57,18,22
KS020NI,15,2,18,17
GL978PK,15,2,20,0
GL993GO,15,14,15,57
KS908MN,15,16,16,6
KS961WM,15,26,20,0
TV052ZH,15,27,19,2
SO570TA,15,51,18,12
RV193GW,16,5,19,52
SN379AE,16,10,18,7
SN359WA,16,22,19,52
KE781AW,16,25,18,28
SN801YC,16,33,19,28
MI562SG,16,35,20,0
TV237IU,16,48,18,13
RV557PN,16,48,20,0
SN401CT,17,40,17,41
KS116JX,17,50,19,22
MI712AA,18,6,20,0
GL761GK,18,15,19,41
KS908MN,18,29,18,41
MI864WQ,18,46,18,58
KE708UI,18,50,20,0
MI127BW,19,0,19,3
KE044XO,19,14,20,0
SO489UR,19,52,20,0
