SN253QG,6,1,12,5
MI786SP,6,3,12,33
SN371ZT,6,24,6,32
KS741PK,6,52,15,20
SN472LQ,7,29,14,3
MI870WV,7,39,16,35
KE839AE,7,43,10,21
MI847LC,7,54,14,42
SN879LG,8,3,8,9
KS140BB,8,7,17,0
TV519IT,8,12,16,24
KS519OU,8,19,9,38
RV484DM,8,29,12,4
KS027EJ,8,31,16,55
RV495AG,8,56,11,17
RV662JQ,9,1,15,44
KE146CP,9,39,16,25
KE205MD,9,39,9,51
TV012AJ,9,54,16,58
MI323CE,10,6,14,17
KE205MD,10,11,13,43
KS972LF,10,19,13,27
KS588NQ,10,21,11,34
KE002JX,10,25,17,0
GL228LW,10,26,16,36
TV301YT,10,54,17,0
RV919BG,10,59,17,0
TV995VL,11,4,14,40
KS519OU,11,19,17,0
KS105ZZ,11,28,14,19
RV959ZW,11,46,14,16
KE310LJ,11,49,17,0
RV369BH,11,52,14,6
TV574ML,12,6,14,58
RV623RY,12,8,16,19
RV335KD,12,14,14,32
SN824FT,12,17,16,5
KE839AE,12,20,15,30
SO528TQ,13,43,16,5
MI786SP,13,46,15,35
RV776WB,13,53,15,6
KE386OP,13,58,17,0
SN253QG,14,22,17,0
KE534ZS,14,27,16,1
SN656LO,14,28,17,0
GL947EO,14,48,16,10
MI937ZF,14,56,16,51
GL655UX,14,59,17,0
SO222WB,15,15,15,37
GL123JS,15,28,15,36
MI364ES,15,40,16,30
MI271SE,15,46,17,0
KE799NI,15,52,17,0
RV070AB,16,6,17,0
KE329NH,16,38,17,0
